Position;Business Name;Address;Phone Number;Email;Website;Category
1;SINOP ALFA, s. r. o.;Bratislavská 196 /81, 90201 Pezinok;421336422255;sinopalfa@sinopalfa.sk;http://www.sinop.sk;Chladiarenské zariadenia
2;PEZINSKÉ TEHELNE PANELÁREŇ as;Tehelná 1764/9, 90201 Pezinok;421336413987;;;Keramika
3;Samservis - servis kotlov;Gorkého 2588/18, 90201 Pezinok;421903559708;servis@samservis.sk;http://www.samservis.sk;Kotly a kotolne - opravy
4;PROFIMONT SLOVAKIA, s.r.o. - Krtkovanie Pezinok;Hlavná 47 /93, 90023 Viničné;421949177200;havarijna.pomoc@gmail.com;https://upchatykanal.eu;Kanalizácia
5;Hekon, s.r.o.;M. R. Štefánika 6, 90201 Pezinok;421944136701;hekon@hekon.sk;http://www.hekon.sk;Účtovníctvo
6;Pavol Neupauer;Cajlanská 1868/201, 90201 Pezinok;neupauererik@gmail.com;neupauererik@gmail.com;http://www.rekonstrukciebytov-ba.sk;Murári
7;AKSO, spol. s r.o.;Za koníčkom 9, 90201 Pezinok;421905600516;objednavky@akso.sk;https://akso.sk;Plyn - predaj
8;STAVEBNINY PEZINOK - BAĎURA s.r.o.;Šenkvická cesta 18, 90201 Pezinok;421336453057;badura@strechabadura.sk;http://www.stavebniny-pezinok.sk;Stavebniny , stavebný materiál
9;STROM & TRÁVA JK - čistenie pozemkov Pezinok;Suvorovova 2629 /48, 90201 Pezinok;421911837430;stromtravajk@gmail.com;;Záhradnícke služby
10;Ing. Jaroslav Chrapko;Za koníčkom 1350/14, 90201 Pezinok;421903787770;jaroslav.chrapko@centrum.sk;http://www.chrapko.sk;Stavebné inžinierstvo
11;Mikrochem Trade, spol. s.r.o.;Za dráhou 33, 90201 Pezinok;421336905611;;http://www.cistechemikalie.cz;Chemické výrobky
12;Beauty Palace - Salón Krásy;F. P. Drobiševa 2375/3, 90201 Pezinok;421907541335;recepcia@beautypalace.sk;http://beautypalace.sk;Salóny krásy
13;STAVEBNÉ BYTOVÉ DRUŽSTVO OBČANOV SO SÍDLOM V PEZINKU;Na Bielenisku 4, 90201 Pezinok;421336404780;info@sbdo.sk;http://www.sbdopezinok.sk;Byty , domy - správa a údržba
14;EK-ÚČTO, s.r.o.;Svätoplukova 2657/10, 90201 Pezinok;421915877312;zuzanna.krockova@gmail.com;;Účtovníctvo
15;Volejbal Tenis Club;Komenského 1241/30, 90201 Pezinok;421905589229;vtcpezinok@gmail.com;;Športové areály , ihriská
16;JIDE SLOVAKIA, s.r.o.;Myslenická 3011/21, 90203 Pezinok;421336413682;;;Klimatizačná technika
17;Regarex, s. r. o.;Suvorovova 16, 90201 Pezinok;421951005472;paloskoco@gmail.com;https://regarex.com;Kotly a kotolne
18;LKW - SERVIS Valovič, s. r. o.;Šenkvická cesta 14 /D, 90201 Pezinok;421948265989;jvalovic@lkw-servis.sk;https://lkw-servis.sk;Nákladné automobily , autobusy - opravy
19;Beauty Palace - Salón Krásy;F. P. Drobiševa 2375 /3, 90201 Pezinok;421944900331;recepcia@beautypalace.sk;https://www.beautypalace.sk;Salóny krásy
20;Allianz - Slovenská poisťovňa, a.s., agentúrna kancelária Pezinok;Holubyho 28, 90201 Pezinok;421918714991;magda.zamecnikova@os.allianz.sk;https://obchod.allianz.sk/magda.zamecnikova;Poistenie , poisťovne
21;SUNMONT SK, s.r.o.;Myslenická 1B, 90201 Pezinok;421915751500;info@sunmont.sk;https://sunmont.sk;Dvere , brány a vráta
22;Očná optika PROFESIONÁL;Holubyho 59, 90201 Pezinok;421255641961;optikaerik@azet.sk;http://www.ocna-optika-profesional.sk;Očná optika
23;Lenka Kravarčiková RSc., Licencovaný realitný maklér ORIN REAL;Moyzesova 4 /B, 90201 Pezinok;421903718726;kravarcikova@orinreal.com;https://lenkakravarcikova.sk;Realitné kancelárie
24;EVER Trade s.r.o.;Jesenského 2759 /16, 90201 Pezinok;421336422606;info@evertrade.sk;https://eshop.evertrade.sk;Vinárstvo - potreby
25;Brány – ploty Jaroslav Flendrovský;Myslenická 3001 /1, 90201 Pezinok;421905707035;info@ploty-zahrada.sk;https://www.ploty-zahrada.sk;Dvere , brány a vráta
26;Ing. Gabriela Duffalová s. r. o.;Holubyho 1, 90201 Pezinok;421905725601;gabika.duffalova@gmail.com;;Účtovníctvo
27;SECOSTAV s.r.o.;Mierová 1749 /6, 90201 Pezinok;421911067333;info@secostav.sk;https://secostav.sk;Stavebné firmy , spoločnosti
28;ZLATA, s.r.o. účtovníctvo Pezinok;Šenkvická cesta 20, 90201 Pezinok;421336400269;zlata@zlata.sk;https://www.zlata.sk;Účtovníctvo
29;Kamil Trochta, Premos;Jesenského 10, 90201 Pezinok;421336413111;premos@premos.sk;http://www.premos.sk;Automobily - náhradné dielce
30;3de creative s.r.o.;Šenkvická cesta 12 /F, 90201 Pezinok;421905941800;kuchyne3de@gmail.com;http://www.3decreative.sk;Interiéry
31;Stanislav Strážay - STRATEX;SNP 286 /7, 90201 Pezinok;421903245441;stratex@zoznam.sk;;Kľúče a zámky
32;Klimatizácie Sinop Alfa;Bratislavská 196 /81, 90201 Pezinok;421903720906;sinopalfa@sinopalfa.sk;http://www.sinop.sk;Klimatizačná technika
33;SINOP ALFA, s. r. o.;Bratislavská 81, 90201 Pezinok;421336422255;sinopalfa@sinopalfa.sk;http://www.sinop.sk;Gastronómia , zariadenia pre gastronómiu
34;AD GROUP s. r. o.;L. Novomeského 2729/12, 90201 Pezinok;421948981614;;;
35;Almir´s family;Holubyho 73, 90201 Pezinok;421335586995;almirsfamilyshop@gmail.com;https://almirshop.sk;Chovatelia , potreby pre chovateľov
36;Allianz Agentúrna kancelária Pezinok;Holubyho 4697/28, 90201 Pezinok;421918599881;silvia.bjaloncikova@os.allianz.sk;;Poistenie , poisťovne
37;GARAGE, s.r.o. - brány;Mierová 9, 90201 Pezinok;421908870332;;;Dvere , brány a vráta
38;MD BUILDING, s. r. o.;Panholec 1, 90201 Pezinok;421902891048;marekdrskatt@gmail.com;https://www.mdbuilding.sk;Zemné práce
39;STAVINEX s.r.o.;Šenkvická cesta 11, 90201 Pezinok;421336476262;stavinex@gmail.com;https://www.bizref.sk/stavebnymaterial-pezinok;Stavebniny , stavebný materiál
40;LOGAN INVESTMENT, a.s.;Šenkvická cesta 11D, 90201 Pezinok;421903802053;logan@logan.sk;http://www.logan.sk;Kovy - povrchová úprava
41;Inštalácie Martiger;Tehelná 11, 90201 Pezinok;421918385516;instalaciemartiger@gmail.com;https://www.instalacie-martiger.sk;Inštalatéri
42;YELLA interiér s.r.o.;Drevárska 23, 90201 Pezinok;421940932373;borismedjesi2@gmail.com;;Stolári
43;Storan s.r.o.;Drevárska 23, 90201 Pezinok;421903621222;schody@storan.sk;https://www.storan.sk;Schody , schodištia , zábradlia
44;RE/MAX Svet realít | Nehnuteľnosti;Lichnerova 8, 90301 Senec;421948484746;svetrealit@re-max.sk;http://www.byvanievsenci.sk;Realitné kancelárie
45;Maľovanie Michal Bratislava;Kamenné námestie 1A, 81108 Bratislava;421951451161;malovaniemichal164@gmail.com;https://www.malovaniemichal.sk;Maliari interiérov , natierači
46;JKONTROL;Československých parašutistov 25, 83103 Bratislava;421944854034;info@jkontrol.sk;https://www.jkontrol.sk;Stavebné inžinierstvo
47;Alena Bedečová - AB KRTKOVANIE;J. Csermáka 3904 /1, 90301 Senec;421940367897;nonstopkrtkovanie@gmail.com;https://www.krtkovanie-non-stop.sk;Kanalizácia
48;KAMENÁRSTVO PEŠKO;Vištuk 421, 90085 Vištuk;421908588877;kamenarstvo.pesko@gmail.com;http://www.kamenarstvopesko.sk;Kamenárstvo , kameňosochárstvo
49;Peter Poliak PROex;Exnárova 3127/16, 82103 Bratislava;421903453565;proex@proex.sk;http://www.proex.sk;Elektrické spotrebiče - opravy
50;Mgr. Bjalončíková - ALLIANZ - SLOVENSKÁ POISŤOVŇA;Račianska 3105 /62, 83106 Bratislava;421918599881;silvia.bjaloncíkova@os.allianz.sk;https://www.allianzsp.sk/sk_SK/sukromne-osoby/zivot.html;Poistenie - sprostredkovatelia , poradenstvo
51;REMESELNÉ POTREBY - NILAŠ JOZEF;Hlavná 435 /165, 90089 Častá;421905571497;nilasjozef@centrum.sk;https://www.remeselnepotreby.sk;Stavebniny , stavebný materiál
